period,ugs_id,plant,pollinator,w
A,1,Bellis perennis,Anthaxia nitidula,1
A,1,Borago officinalis,Apis mellifera,12
A,1,Convallaria majalis,Apis mellifera,1
A,1,Myosotis alpestris,Apis mellifera,2
A,1,Myosotis alpestris,Lucilia sp.,1
A,1,Ranunculus repens,Episyrphus balteatus,1
A,1,Ranunculus repens,Sphaerophoria scripta,1
A,1,Rubus fruticosus aggr.,Apis mellifera,3
A,1,Rubus idaeus,Apis mellifera,20
A,1,Rubus idaeus,Bombus pascuorum,1
A,1,Symphytum officinale,Anthophora plumipes,1
A,1,Symphytum officinale,Anthophora quadrimaculata,1
A,1,Symphytum officinale,Apis mellifera,16
A,1,Symphytum officinale,Bombus pratorum,1
A,1,Symphytum officinale,Bombus terrestris aggr.,2
A,1,Symphytum officinale,Melecta albifrons,1
A,1,Vicia sepium,Apis mellifera,1
A,2,Allium schoenoprasum,Apis mellifera,1
A,2,Aquilegia vulgaris,Bombus terrestris aggr.,1
A,2,Borago officinalis,Anthophora plumipes,1
A,2,Borago officinalis,Apis mellifera,23
A,2,Borago officinalis,Bombus pratorum,2
A,2,Borago officinalis,Bombus terrestris aggr.,1
A,2,Borago officinalis,Episyrphus balteatus,1
A,2,Borago officinalis,Sphaerophoria scripta,1
A,2,Fragaria vesca,Meligethes viridescens,1
A,2,Nigella damascena,Halictus scabiosae,1
A,2,Ranunculus repens,Lasioglossum villosulum,1
A,2,Rubus idaeus,Apis mellifera,10
A,2,Rubus idaeus,Nowickia sp.,1
A,2,Sanguisorba minor,Sphaerophoria sp.,1
A,2,Vicia sepium,Andrena lathyri,1
A,2,Vicia sepium,Apis mellifera,1
A,3,Bellis perennis,cf. Tachina sp.,1
A,3,Borago officinalis,Apis mellifera,1
A,3,Calendula officinalis,Andrena humilis,2
A,3,Calendula officinalis,Halictus subauratus,1
A,3,Calendula officinalis,Lasioglossum leucozonium,1
A,3,Campanula portenschlagiana,Lasioglossum morio,1
A,3,Leucanthemum vulgare,Halictus scabiosae,1
A,3,Leucanthemum vulgare,Halictus subauratus,2
A,3,Leucanthemum vulgare,Syritta pipiens,1
A,3,Leucanthemum vulgare,pollen beetle,1
A,3,Myosotis arvensis,Apis mellifera,1
A,3,Papaver orientale,Osmia bicornis,1
A,3,Phacelia tanacetifolia,Apis mellifera,17
A,3,Phacelia tanacetifolia,Eupeodes luniger,1
A,3,Phacelia tanacetifolia,Lasioglossum morio,1
A,3,Phacelia tanacetifolia,Lasioglossum politum,1
A,3,Phedimus hybridus,Apis mellifera,2
A,3,Rubus idaeus,Apis mellifera,7
A,3,Thymus longicaulis,Lasioglossum nitidulum,1
A,4,Centaurea montana,Apis mellifera,4
A,4,Centaurea montana,Sphaerophoria sp.,1
A,4,Fragaria vesca,Halictus simplex aggr.,1
A,4,Myosotis alpestris,Syritta pipiens,1
A,4,Rhododendron ponticum,Bombus terrestris aggr.,1
A,4,Rhododendron ponticum,Osmia bicornis,2
A,4,Rubus idaeus,Apis mellifera,5
A,4,Sedum palmeri,Lasioglossum glabriusculum,1
A,4,Taraxacum officinale,Meligethes viridescens,1
A,4,Vicia sepium,Apis mellifera,1
A,4,Vicia sepium,Bombus pascuorum,1
A,5,Allium schoenoprasum,Apis mellifera,2
A,5,Borago officinalis,Apis mellifera,4
A,5,Myosotis arvensis,Andrena sp.,1
A,5,Myosotis arvensis,Anogcodes rufiventris,1
