genus_lookup,species_lookup,synonym_genus_lookup,synonym_species_lookup,taxon_name,taxon_name_without_author,accession_code,provenance_type,material_type_code,material_type,accession_status,verification_level,field_codes,field_names,region,locality,country
Acanthus,spinosus,,,Acanthus spinosus L.,Acanthus spinosus,19963007,Ungenügend Angaben,,,Lebend,Nicht verifiziert,24,Mittelmeer Institut bis Treppe,,,
Acer,campestre,,,Acer campestre L.,Acer campestre,19963008,Ungenügend Angaben,,,Lebend,Durch Experten,"8, 12, 20","Wald mit Frühlingsblüher ,Waldrand b. Nutzpflanzen,Waldrand unterhalb der Magerwiese",,,
Acer,campestre,,,Acer campestre L.,Acer campestre,19860152,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,533,Böschung Männerbadi,,,
Acer,campestre,,,Acer campestre L.,Acer campestre,19965048,Ungenügend Angaben,,,Lebend,Durch Experten,13,Arenawald,,,
Acer,campestre,,,Acer campestre L.,Acer campestre,20240567,Akzession von Wildstandort,P,Ganze Pflanzen,Lebend,,514,Völkerkunde-Museum,"Stadt Zürich, Alter Botanischer Garten",,Schweiz
Achillea,millefolium,,,Achillea millefolium L.,Achillea millefolium,19963014,Ungenügend Angaben,,,Lebend,Nicht verifiziert,"7.12, 10.07, 10.14, 10.02, 10.16","Antike,CH-Heilpflanzen,Färberpflanzen,Stärkung,Tibet",,,
Achillea,millefolium,,,Achillea millefolium L.,Achillea millefolium,20041919,Akzession von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,24,Mittelmeer Institut bis Treppe,Glattfelden ZH,Naturschutzgebiet „Berg West“,Schweiz
Achillea,millefolium,,,Achillea millefolium L.,Achillea millefolium,20050013,Ungenügend Angaben,,,Lebend,Durch Experten,21,Magerwiese,,,
Achillea,millefolium,,,Achillea millefolium L.,Achillea millefolium,20160001,Akzession von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,33,Paeonienteil Süd,"Hombrechtikon, ZH","Herrgass, Grüningerstrasse, am Strassenrand",Schweiz
Achillea,millefolium,,,Achillea millefolium L.,Achillea millefolium,20240206,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,,57,Institutsrabatte,,,
Achillea,ptarmica,,,Achillea ptarmica L.,Achillea ptarmica,19990871,Akzession von Wildstandort,P,Ganze Pflanzen,Lebend,Durch Experten,"16, 41","Mitteleuropa am Hauptweg,Teich und Umgebung",Fieschertal VS,nahe Wichul,Schweiz
Actinidia,chinensis,,,Actinidia chinensis Planch.,Actinidia chinensis,19755415,Akzession nicht von Wildstandort,P,Ganze Pflanzen,Lebend,Nicht verifiziert,35,Mauer und Umgebung,,,
Aegopodium,podagraria,,,Aegopodium podagraria L.,Aegopodium podagraria,20250157,Ungenügend Angaben,P,Ganze Pflanzen,Lebend,,45,Mitteleuropa unterhalb Institut West,,,
