SEN.2;SEN;Nr_SISF;Rank;Taxon_name;Authority;Subfamily;Family;Fern;Gymnosperm;Primitive_Angiosperm;Monocot;Eudicot;Garden_functional_group;Crop_use;Growth_form;Growth_form_simple;Liana;Carnivorous;Parasitic;Height_m;Leaf_duration;Pollination_mode;Structural_blossom_class;Tube_or_spur_present;Ressource;Visual_attraction;Alighting;Pollen_deposition_reception;Displaying_pollen;Pollinator_behaviour;Tube_spur_length_mm;Corolla_or_substitute_length_mm;Flower_diametre_mm;Inflorescence_diameter_mm;Coloured_bracts_or_substitute;Coloured_bract_lenght_mm;Brown_Drab;Green;Blue;Red;Orange;White;Yellow;Violet;Purpur_Magenta;Rose;January;February;March;April;May;June;July;August;September;October;November;December;Flower_onset;Months_flowering;Naturalization_status;Young_species;Freisetzungsverordnung;Black_list;Watch_list;Ecological_group;Red_list_CH;Red_list_MP;Red_list_MP2;IndigenatCH;Origin_status;Geographic_range_CHECK;Note
148;148;10500;sp;Alcea rosea;L.;NA;Malvaceae;0;0;0;0;1;annual_border_flower;0;biennial_hapaxanthic;perennial herbaceous plant;0;0;0;3;partly_wintergreen;biotic;bell_trumpet;0;NP;corolla_or_substitute;more_exact;central_inside;half_hidden;crawling_in;0;50;100;NA;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;1;1;1;1;0;0;June;5;archeophyte_or_neophyte;0;0;0;0;weeds_ruderal_plants;(LC);(LC);(LC);N;1;B4a;
468;468;NA;sp;Angelica archangelica;L.;NA;Apiaceae;0;0;0;0;1;annual_border_flower;0;biennial_hapaxanthic;perennial herbaceous plant;0;0;0;2;partly_wintergreen;biotic;dish_bowl;0;NP;diffuse;diffuse;diffuse_inside;open;primitive;0;1.5;3;140;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;June;2;indigenous_or_neophyte;0;0;0;0;NA;NA;NA;NA;NC;1;B4b;
472;472;34100;sp;Angelica sylvestris;L.;NA;Apiaceae;0;0;0;0;1;pond_plant;0;biennial_hapaxanthic;perennial herbaceous plant;0;0;0;1.8;deciduous;biotic;dish_bowl;0;NP;diffuse;diffuse;diffuse_inside;open;primitive;0;1.5;3;105;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;July;3;idiochorophyte;0;0;0;0;wetland_plant;LC;LC;LC;I;0;B6;
582;582;42200;sp;Arctium lappa;L.;Carduoideae;Asteraceae;0;0;0;0;1;spontanous;0;biennial_hapaxanthic;perennial herbaceous plant;0;0;0;1.5;deciduous;biotic;brush;1;NP;diffuse;diffuse;diffuse_outside;open;alighting;8;14;NA;50;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;July;3;indigenous_or_archeophyte;0;0;0;0;weeds_ruderal_plants;LC;LC;LC;I;0;B6;
835;835;59600;sp;Beta vulgaris;L.;NA;Amaranthaceae;0;0;0;0;1;crop;1;biennial_hapaxanthic;perennial herbaceous plant;0;0;0;2;partly_wintergreen;biotic;dish_bowl;0;NP;diffuse;diffuse;diffuse_inside;open;primitive;0;5;10;NA;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;July;3;archeophyte;1;0;0;0;weeds_ruderal_plants;(DD);(DD);(DD);NC;1;C2c;
1352;1352;96500;sp;Carlina vulgaris;L.;Carduoideae;Asteraceae;0;0;0;0;1;lawn_meadow_plant;0;biennial_hapaxanthic;perennial herbaceous plant;0;0;0;0.7;wintergreen;biotic;dish_bowl;1;NP;diffuse;diffuse;diffuse_inside;open;primitive;NA;10;NA;30;1;NA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;July;3;indigenous_or_archeophyte;0;0;0;0;forest_plant;LC;NT;NT;I;0;D3;
1583;1583;115500;sp;Cirsium vulgare;(Savi) Ten.;Carduoideae;Asteraceae;0;0;0;0;1;spontanous;0;biennial_hapaxanthic;perennial herbaceous plant;0;0;0;3;wintergreen;biotic;brush;1;NP;diffuse;diffuse;diffuse_outside;open;alighting;25;35;NA;50;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;July;3;indigenous_or_archeophyte;0;0;0;0;weeds_ruderal_plants;LC;LC;LC;I;0;B6b;
1713;1713;123100;sp;Crepis biennis;L.;Cichorioideae;Asteraceae;0;0;0;0;1;lawn_meadow_plant;0;biennial_hapaxanthic;perennial herbaceous plant;0;0;0;1.2;wintergreen;biotic;dish_bowl;1;NP;diffuse;diffuse;diffuse_inside;open;primitive;NA;18;NA;35;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;May;3;idiochorophyte;0;0;0;0;fertilized_meadow_plants;LC;LC;LC;I;0;D3;
1906;1906;135300;sp;Dianthus armeria;L.;Silenoideae;Caryophyllaceae;0;0;0;0;1;spontanous;0;biennial_hapaxanthic;perennial herbaceous plant;0;0;0;0.4;wintergreen;biotic;stielteller;1;NP;margin;margin;central_inside;open;alighting;20;5;14;NA;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;June;3;indigenous_or_neophyte;0;0;0;0;weeds_ruderal_plants;NT;NT;VU;I;0;C1;
1966;1966;139200;sp;Dipsacus fullonum;L.;NA;Caprifoliaceae;0;0;0;0;1;annual_border_flower;0;biennial_hapaxanthic;perennial herbaceous plant;0;0;0;2;wintergreen;biotic;brush;1;NP;diffuse;diffuse;diffuse_outside;open;alighting;11;11;NA;80;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;July;2;archeophyte;1;0;0;0;weeds_ruderal_plants;LC;NT;NT;I;0;C1;
