Id,capture_date,capture_window,phytometer_plant,taxon,nectar_robber,male,female,adult,intertegular_distance,fulcrum_length,prementum_length,labellum_lenght,forewing_length,proboscis_length,labellum_prementum_ratio,comment
8,28.06.2016,8,Carrot,Anthaxia nitidula,0,0,0,1,2.059,0,0,0,4.435,0,NA,
71,28.06.2016,6,Carrot,Anthaxia nitidula,0,0,0,1,1.898,0,0,0,4.053,0,NA,
47,28.06.2016,2,Carrot,Anthaxia nitidula,0,0,0,1,1.958,0,0,0,4.399,0,NA,
83,01.07.2016,6,Carrot,Anthaxia nitidula,0,0,0,1,1.892,0,0,0,4.121,0,NA,
83,01.07.2016,8,Carrot,Anthaxia nitidula,0,0,0,1,1.944,0,0,0,4.119,0,NA,
28,01.07.2016,5,Carrot,Anthaxia nitidula,0,0,0,1,1.558,0,0,0,3.485,0,NA,
84,07.07.2016,6,Carrot,Anthaxia nitidula,0,0,0,1,1.958,0,0,0,4.133,0,NA,
71,07.07.2016,2,Carrot,Anthaxia nitidula,0,0,0,1,1.862,0,0,0,3.837,0,NA,
30,11.07.2016,1,Carrot,Anthaxia nitidula,0,0,0,1,1.907,0,0,0,4.229,0,NA,wing damaged
47,18.07.2016,6,Carrot,Anthaxia nitidula,0,0,0,1,1.891,0,0,0,3.978,0,NA,
25,18.07.2016,9,Carrot,Anthaxia nitidula,0,0,0,1,1.874,0,0,0,3.846,0,NA,
41,18.07.2016,6,Carrot,Anthaxia nitidula,0,0,0,1,1.884,0,0,0,4.005,0,NA,
84,23.06.2016,2,Carrot,Mordella sp.,0,0,0,1,NA,0,0,0,4.669,0,NA,
8,18.07.2016,5,Carrot,Mordella sp.,0,0,0,1,1.646,0,0,0,4.513,0,NA,
39,20.07.2016,9,Carrot,Mordella sp.,0,0,0,1,1.852,0,0,0,4.946,0,NA,
84,23.06.2016,2,Carrot,Variimorda sp.,0,0,0,1,2.114,0,0,0,NA,0,NA,
2,28.06.2016,4,Carrot,Variimorda sp.,0,0,0,1,1.948,0,0,0,5.016,0,NA,
2,28.06.2016,3,Carrot,Variimorda sp.,0,0,0,1,2.378,0,0,0,5.759,0,NA,
47,28.06.2016,3,Carrot,Variimorda sp.,0,0,0,1,1.787,0,0,0,4.892,0,NA,bad picture
17,29.06.2016,5,Carrot,Variimorda sp.,0,0,0,1,2.273,0,0,0,5.742,0,NA,
8,04.07.2016,4,Carrot,Variimorda sp.,0,0,0,1,2.102,0,0,0,5.605,0,NA,
56,04.07.2016,9,Carrot,Variimorda sp.,0,0,0,1,2.528,0,0,0,6.573,0,NA,
73,06.07.2016,5,Carrot,Variimorda sp.,0,0,0,1,1.881,0,0,0,4.414,0,NA,
2,07.07.2016,4,Carrot,Variimorda sp.,0,0,0,1,2.199,0,0,0,5.696,0,NA,
2,07.07.2016,9,Carrot,Variimorda sp.,0,0,0,1,2.196,0,0,0,5.777,0,NA,
83,08.07.2016,1,Carrot,Variimorda sp.,0,0,0,1,2.01,0,0,0,5.594,0,NA,
83,08.07.2016,1,Carrot,Variimorda sp.,0,0,0,1,2.029,0,0,0,5.525,0,NA,
17,10.07.2016,3,Carrot,Variimorda sp.,0,0,0,1,2.555,0,0,0,NA,0,NA,
7,11.07.2016,2,Carrot,Variimorda sp.,0,0,0,1,2.198,0,0,0,5.825,0,NA,
56,11.07.2016,1,Carrot,Variimorda sp.,0,0,0,1,1.945,0,0,0,4.975,0,NA,
