period,ugs_id,network_id,N_interactions,P_plants,A_pollinators,L_links,singleton_rate,connectance,link_evenness,H2_specialization,WNODF_nestedness,plants_recorded,plant_records_rows,availability_sum,availability_n_nonmissing,share_interactions_species_id,share_taxa_species_id,share_bee_interactions,ugs_type,site_name,lat,lon,plant_trait_node_cov,plant_trait_weighted_cov,alien_share_unweighted,alien_share_weighted,flower_color_richness,symmetry_richness,pollination_syndrome_richness,plant_height_range,flowering_start_range,poll_trait_node_cov,poll_trait_weighted_cov,bee_trait_weighted_cov,bee_itd_range,bee_tongue_range,lecty_richness,nesting_richness,sociality_richness,botgarden_overlap_node,botgarden_overlap_weighted
A,1,A_1,66,9,11,17,0.6470588235294118,0.1717171717171717,0.7291958143097198,0.5226078766402514,NA,29,29,1417,15,1,1,0.9393939393939394,Allotment,Gartenareal Breitenstein,47.39364,8.51663,0.8888888888888888,0.9545454545454546,0.125,0.18181818181818182,4,2,2,1.5947559072284125,6,0.9090909090909091,0.9848484848484849,1,1.7384074074074078,3.3505939919594736,2,5,4,NA,NA
A,2,A_2,48,9,12,16,0.8125,0.14814814814814814,0.6709218442522425,0.6698915504307746,NA,20,20,471,9,1,1,0.8958333333333334,Allotment,Grubenacker,47.4177,8.55346,1,1,0.2222222222222222,0.625,5,2,3,1.515780601585831,1,0.8333333333333334,0.9583333333333334,1,3.574407407407408,8.022182141598384,2,3,3,NA,NA
A,3,A_3,44,11,13,19,0.7368421052631579,0.13286713286713286,0.7761894049042004,0.7653962044288519,NA,34,34,1392,9,0.9772727272727273,0.9230769230769231,0.9090909090909091,Allotment,Gartenareal Breitenstein,47.39403,8.51594,1,1,0.45454545454545453,0.6363636363636364,5,2,1,1.6220041648041703,6,0.8461538461538461,0.9545454545454546,1,2.46,5.58654992585358,2,3,3,NA,NA
A,4,A_4,19,8,9,11,0.7272727272727273,0.1527777777777778,0.8991586935932274,0.9113904109703598,NA,21,21,1948,10,1,1,0.8421052631578947,Allotment,Juchhof,47.39934,8.4781,1,1,0,0,4,2,2,3.08716666666667,2,0.8888888888888888,0.9473684210526315,1,4.124407407407408,8.747968330170234,1,3,3,NA,NA
A,5,A_5,18,4,7,9,0.6666666666666666,0.32142857142857145,0.8683849863095253,0.4308309871622568,NA,22,23,6413,8,0.9444444444444444,0.8571428571428571,0.7777777777777778,Allotment,Gartenareal Breitenstein,47.3938,8.51659,0.75,0.9444444444444444,0.3333333333333333,0.2222222222222222,2,1,1,0.25086806239737197,1,0.7142857142857143,0.8888888888888888,0.9285714285714286,1.0572109243697478,4.402522540927674,1,1,1,NA,NA
A,6,A_6,4,4,4,4,1,0.25,1,1,NA,20,20,95,3,1,1,0.5,Allotment,Juchhof,47.4014442872832,8.47412973187809,1,1,0.25,0.25,2,2,1,0.6950000000000002,2,0.75,0.75,0.6666666666666666,2.68,5.96221173708098,2,1,2,NA,NA
A,7,A_7,82,14,17,28,0.7142857142857143,0.11764705882352941,0.7976472409559505,0.7489270637118236,7.797356828193832,36,38,7444,10,1,1,0.8536585365853658,Allotment,Gemeinschaftsgarten Grünhölzli,47.38736,8.46865,0.8571428571428571,0.7926829268292683,0.3333333333333333,0.3780487804878049,5,2,1,0.886214285714286,2,0.7647058823529411,0.9512195121951219,0.9857142857142858,5.696,11.807477709022391,2,4,4,NA,NA
A,8,A_8,21,7,9,11,0.8181818181818182,0.1746031746031746,0.7848713619710965,0.755804914129296,NA,27,28,1594,10,0.9523809523809523,0.8888888888888888,0.7142857142857143,Allotment,Familiengartenverein Wiedikon,47.3591153,8.50162658610434,0.8571428571428571,0.9047619047619048,0.16666666666666666,0.047619047619047616,4,2,2,1.6087041648041702,4,0.5555555555555556,0.7619047619047619,1,2.46,5.7987062630625905,2,2,3,NA,NA
A,9,A_9,3,3,3,3,1,0.3333333333333333,0.9999999999999998,1,NA,28,29,138,6,1,1,0.3333333333333333,Allotment,Pauls Garden,47.36224,8.50003,1,1,0.3333333333333333,0.3333333333333333,3,1,2,1.3231617647058789,1,0.3333333333333333,0.3333333333333333,1,0,0,1,1,1,NA,NA
A,10,A_10,41,12,17,24,0.7916666666666666,0.11764705882352941,0.8911457659504219,0.7361771878342688,8.704620462046204,32,32,2070,17,0.975609756097561,0.9411764705882353,0.7560975609756098,Allotment,GZ Bachwiesen - Zürcher Gemeinschaftszentren,47.37907,8.48641,0.9166666666666666,0.975609756097561,0.2727272727272727,0.36585365853658536,4,2,2,2.431862745098036,4,0.7058823529411765,0.8780487804878049,1,3.784407407407408,8.297626343628624,1,2,3,NA,NA
