period,ugs_id,network_id,N_interactions,P_plants,A_pollinators,L_links,singleton_rate,connectance,link_evenness,H2_specialization,WNODF_nestedness,plants_recorded,plant_records_rows,availability_sum,availability_n_nonmissing,share_interactions_species_id,share_taxa_species_id,share_bee_interactions,ugs_type,site_name,lat,lon,plant_trait_node_cov,plant_trait_weighted_cov,alien_share_unweighted,alien_share_weighted,flower_color_richness,symmetry_richness,pollination_syndrome_richness,plant_height_range,flowering_start_range,poll_trait_node_cov,poll_trait_weighted_cov,bee_trait_weighted_cov,bee_itd_range,bee_tongue_range,lecty_richness,nesting_richness,sociality_richness,botgarden_overlap_node,botgarden_overlap_weighted,s_N,s_P,s_A,s_L,s_singletons,s_species_id,score_richness,score_completeness,s_connectance,s_evenness,s_H2,score_structure,s_plant_traits_cov,s_bee_traits_cov,score_trait_coverage,s_color_rich,s_symm_rich,s_syn_rich,s_height_rng,s_flow_rng,score_plant_trait_breadth,s_itd_rng,s_tong_rng,s_lecty_rich,s_nest_rich,s_soc_rich,score_bee_trait_breadth,score_trait_breadth,score_overall_noBG
C,10,C_10,120,22,23,46,0.5869565217391305,0.09090909090909091,0.8492409494764195,0.6756139138133664,9.259641873278238,38,39,3144,18,0.9916666666666667,0.9565217391304348,0.8666666666666667,Allotment,GZ Bachwiesen - Zürcher Gemeinschaftszentren,47.37907,8.48641,0.9545454545454546,0.975,0.23809523809523808,0.225,4,2,2,2.03691372553782,3,0.8260869565217391,0.9666666666666667,0.9903846153846154,3.928,8.43826091625753,3,5,5,NA,NA,1,1,0.9895833333333339,1,0.9411117226197029,0.9638124362895006,0.9973958333333335,0.9524620794546017,0,0.541663234107493,0.36301003384326874,0.30155775598358725,0.882079646017699,0.9239040529363113,0.9029918494770051,0.5,1,0.5,0.21356927463693226,0.4,0.5227138549273864,0.7218413145047716,0.7098494298785689,1,1,1,0.8863381488766681,0.7045260019020272,0.8405857902335453
C,51,C_51,103,20,27,42,0.6904761904761905,0.07777777777777778,0.8153834671872594,0.7511462736440375,4.3746149106592735,34,35,6356,19,1,1,0.8737864077669902,Ruderal,Stelzenstrasse,47.4254028,8.5568885,1,1,0.1,0.038834951456310676,5,2,2,0.6935602091341371,3,0.8518518518518519,0.9611650485436893,1,4.92,10.82269462083894,2,3,4,NA,NA,1,1,1,1,0.7052441229656422,1,1,0.852622061482821,0,0.43872991846387077,0.5113313009416224,0.31668707313516437,1,1,1,0.75,1,0.5,0.05770709949982829,0.4,0.5415414198999656,0.9726670721734079,1,0.5,0.5,0.75,0.7445334144346816,0.6430374171673237,0.8323312149835713
C,39,C_39,91,22,19,38,0.631578947368421,0.09090909090909091,0.8653070704877521,0.7820962446883616,5.223880597014926,43,43,856,12,0.967032967032967,0.8421052631578947,0.9120879120879121,Park,Zeughaushof,47.3771755,8.53009344,0.9545454545454546,0.978021978021978,0.09523809523809523,0.03296703296703297,5,2,2,1.3458136471861424,6,0.6842105263157895,0.9230769230769231,0.9761904761904762,4.037407407407407,8.923586010707945,3,5,4,NA,NA,0.9102564102564105,1,0.7812500000000004,0.9940119760479045,0.8394403730846106,0.8568404072991229,0.9213795965760788,0.8481403901918667,0,0.5905073593470592,0.5721070920362287,0.38753815046109596,0.8963337547408342,0.8115719406041985,0.8539528476725163,0.75,1,0.5,0.1333846023715967,1,0.6766769204743194,0.7495048183934049,0.7706622426615548,1,1,0.75,0.8540334122109919,0.7653551663426557,0.8009390830231125
C,7,C_7,97,18,24,44,0.8181818181818182,0.10185185185185185,0.7899175439719629,0.7373593248527176,3.1857031857031854,47,47,1181,14,1,1,0.8969072164948454,Allotment,Gemeinschaftsgarten Grünhölzli,47.38736,8.46865,0.9444444444444444,0.9896907216494846,0.29411764705882354,0.38144329896907214,5,2,2,0.652270522687189,3,0.7916666666666666,0.9484536082474226,1,4.3500000000000005,9.4474980262618,3,5,4,NA,NA,0.9743589743589746,1,1,1,0.4142692750287687,1,0.9935897435897436,0.7071346375143843,0.003185183363258487,0.36130857064807054,0.4842581667414868,0.2829173069176053,0.951373049904206,1,0.975686524952103,0.75,1,0.5,0.052916476434666015,0.4,0.5405832952869332,0.828543400932357,0.8363101221570762,1,1,0.75,0.8829707046178866,0.71177699995241,0.7988310997144715
C,26,C_26,99,14,22,36,0.6111111111111112,0.11688311688311688,0.8664296695134739,0.7127010221551723,9.187370600414077,31,31,979,13,0.98989898989899,0.9545454545454546,0.9292929292929293,Garden,Gladiolenweg,47.38128,8.49833,0.9285714285714286,0.8686868686868687,0.38461538461538464,0.4444444444444444,5,2,2,1.242274188598656,4,0.8181818181818182,0.9595959595959596,1,4.124407407407408,8.800624667379244,2,4,5,NA,NA,0.995726495726496,0.9166666666666666,0.9375000000000006,0.9341317365269464,0.8860759493670888,0.9561362864115159,0.9460062247300274,0.9211061178893023,0.04081787804148039,0.5939202782070312,0.435837189179105,0.3568584484758722,0.380620362921248,1,0.6903101814606241,0.75,1,0.5,0.1213714687988594,0.6,0.5942742937597719,0.7715026418986181,0.7552547864288198,0.5,0.75,1,0.7553514856654876,0.6748128897126298,0.7871802969316088
C,35,C_35,55,14,29,37,0.8108108108108109,0.09113300492610837,0.9410726960868697,0.8562652081934569,3.1019450033534537,34,36,769,16,1,1,0.6909090909090909,Garden,Hubenstrasse,47.4016,8.5695,0.9285714285714286,0.9818181818181818,0,0,4,2,2,1.5947559072284125,6,0.7931034482758621,0.8727272727272727,1,4.3500000000000005,9.597618561098955,3,5,5,NA,NA,0.5256410256410258,0.9166666666666666,1,0.9640718562874255,0.43106397536777286,1,0.8515948871487795,0.7155319876838864,0,0.8208495622351741,0.7177510871544669,0.5128668831298804,0.9142397425583266,1,0.9571198712791633,0.5,1,0.5,0.16226805089050095,1,0.6324536101781002,0.828543400932357,0.8551207134170885,1,1,1,0.9367328228698891,0.7845932165239946,0.7827016872100451
C,48,C_48,99,13,29,36,0.8055555555555556,0.09549071618037135,0.6711115713069281,0.8737805839690882,3.340220385674931,21,32,6097,16,0.9797979797979798,0.9310344827586207,0.8686868686868687,Park,Bachwiesenpark,47.3813472,8.4865946,1,1,0,0,5,2,3,0.6816309731934734,6,0.7241379310344828,0.9090909090909091,0.9885057471264368,4.044407407407408,8.898977240264694,3,4,4,NA,NA,0.995726495726496,0.8333333333333334,1,0.9341317365269464,0.4430379746835444,0.9122725728230314,0.9407978913966939,0.6776552737532879,0,1.1536141192848908e-4,0.7521456530672683,0.2507536714930656,1,0.9090347299468546,0.9545173649734273,0.75,1,1,0.056323013599332665,1,0.7612646027198665,0.7512747582156635,0.7675786836886161,1,0.75,0.75,0.803770688380856,0.7825176455503613,0.7708926313343453
B,56,B_56,52,14,21,27,0.6666666666666666,0.09183673469387756,0.916088641098169,0.8569314994448773,1.6611295681063123,33,33,761,22,1,1,0.9423076923076923,Ruderal,ETH / UZH,47.3751209,8.54730172,1,1,0.07142857142857142,0.057692307692307696,5,2,2,0.665267944677388,2,0.9047619047619048,0.9615384615384616,1,4.986075,10.9364983851625,3,5,5,NA,NA,0.4935897435897437,0.9166666666666666,0.8854166666666672,0.6646706586826349,0.7594936708860762,1,0.7400859339014281,0.8797468354430381,0,0.7448931873267863,0.7190594689247277,0.4879842187505047,1,1,1,0.75,1,0.5,0.05442449829029087,0.2,0.5008848996580582,0.989374039852798,1,1,1,1,0.9978748079705596,0.7493798538143088,0.7701193588431855
C,56,C_56,62,20,24,40,0.725,0.08333333333333333,0.9444624090281418,0.7705612169977014,2.432045779685265,29,29,3204,18,1,1,0.8709677419354839,Ruderal,ETH / UZH,47.3751209,8.54730172,0.95,0.967741935483871,0.10526315789473684,0.06451612903225806,6,2,3,0.630729941239103,3,0.8333333333333334,0.8870967741935484,0.9464285714285714,4.256075,9.544462751199216,2,4,4,NA,NA,0.6004273504273506,1,1,1,0.6265822784810129,1,0.9001068376068376,0.8132911392405064,0,0.8311549472943858,0.5494560067672287,0.4602036513538715,0.8478447045389668,0.5760368663594468,0.7119407854492068,1,1,1,0.05041723715236251,0.4,0.6900834474304725,0.804794601245838,0.848460117555213,0.5,0.75,0.75,0.7306509437602102,0.7103671955953413,0.7695593479708323
C,44,C_44,90,10,29,44,0.8181818181818182,0.15172413793103448,0.8373987579364096,0.6784685581199725,5.631929046563193,24,30,5214,14,0.9888888888888889,0.9655172413793104,0.8111111111111111,Park,Sonnenberg,47.3677599,8.56729097,1,1,0,0,5,2,3,2.96837353899212,2,0.8275862068965517,0.9444444444444444,1,5.04,11.036873330573535,3,5,4,NA,NA,0.8995726495726498,0.5833333333333334,1,1,0.4142692750287687,0.9517499150526675,0.8707264957264957,0.6830095950407181,0.1280468308040436,0.5056606740444154,0.36861563734380953,0.3341077140640895,1,1,1,0.75,1,1,0.32164161062668034,0.2,0.6543283221253361,1,1,1,1,0.75,0.95,0.802164161062668,0.7652250905146222
C,57,C_57,95,16,22,39,0.7435897435897436,0.11079545454545454,0.7543265336172231,0.7552567246873262,7.8110161443494786,29,29,13114,12,0.9894736842105263,0.9545454545454546,0.9473684210526315,Ruderal,Oberer Letten,47.3844714,8.53759346,0.9375,0.9263157894736842,0,0,5,2,3,0.6139246258432309,3,0.8181818181818182,0.9578947368421052,0.978021978021978,4.8100000000000005,10.18005311206727,2,5,3,NA,NA,0.9529914529914533,1,0.9375000000000006,1,0.584225900681597,0.9542893932077899,0.9726228632478635,0.7692576469446935,0.025576636696800527,0.25310499332263037,0.5194029050653791,0.26602817836160336,0.6524452724732184,0.8260664067115678,0.7392558395923932,0.75,1,1,0.0484674056452564,0.4,0.6396934811290513,0.9448537321093455,0.928101656935964,0.5,1,0.5,0.7745910778090619,0.7071422794690566,0.7644075053280893
B,52,B_52,78,14,19,34,0.6470588235294118,0.12781954887218044,0.8541080670718304,0.6543790118062254,10.846055979643767,26,26,15283,19,1,1,0.9487179487179487,Ruderal,Güterstrasse,47.3822448636764,8.51737256111909,0.9285714285714286,0.9615384615384616,0.15384615384615385,0.14102564102564102,4,2,2,0.580179107905769,2,0.9473684210526315,0.9871794871794872,1,4.7802500000000006,10.327890676330716,3,4,3,NA,NA,0.7713675213675215,0.9166666666666666,0.7812500000000004,0.8742514970059883,0.8041697691734924,1,0.8358839212600442,0.9020848845867462,0.06819863442209825,0.5564602159812295,0.32131151443424594,0.3153234549458579,0.8185840707964602,1,0.9092920353982301,0.5,1,0.5,0.044552092391793766,0.2,0.4489104184783588,0.9373314878647468,0.9466261845580652,1,0.75,0.5,0.8267915344845624,0.6378509764814606,0.7622479666211263
C,53,C_53,68,16,26,44,0.7045454545454546,0.10576923076923077,0.9502880368318457,0.6324756865795409,8.48314606741573,22,22,5217,17,0.9705882352941176,0.9230769230769231,0.7941176470588235,Ruderal,Messe Hallenstadion /Cor: Offene Rennbahn,47.4104,8.55117,1,1,0.0625,0.014705882352941176,5,2,3,0.6077882745724359,3,0.7307692307692307,0.8382352941176471,0.9152542372881356,4.19,9.0791290768595,2,4,4,NA,NA,0.6645299145299147,1,1,1,0.6731875719217493,0.8722791869041194,0.9161324786324787,0.7727333794129343,0.012992842560936635,0.8488659861843891,0.2783004267551082,0.3800530851668113,1,0.32932385638782596,0.664661928193913,0.75,1,1,0.04775543739208064,0.4,0.6395510874784162,0.7880876335664478,0.7901522947312455,0.5,0.75,0.75,0.7156479856595387,0.6775995365689774,0.7454668729965848
C,3,C_3,79,15,18,31,0.7096774193548387,0.11481481481481481,0.8146710417233707,0.6118536711442857,7.493540051679586,48,48,3094,14,1,1,0.9746835443037974,Allotment,Gartenareal Breitenstein,47.39403,8.51594,1,1,0.3333333333333333,0.6962025316455697,5,1,2,0.7616193099918105,5,1,1,1,5.023,10.521432271364434,2,4,4,NA,NA,0.7820512820512823,1,0.7291666666666671,0.7844311377245511,0.6614944875459372,1,0.8239122716106251,0.8307472437729686,0.03563961925375706,0.4365640068192684,0.23780541949814135,0.23666968185705559,1,1,1,0.75,0,0.5,0.06560363557020757,0.8,0.42312072711404153,0.9987104724152117,0.9708775758813064,0.5,0.75,0.75,0.7939176096593036,0.6085191683866725,0.7420667265160694
C,58,C_58,114,13,20,32,0.71875,0.12307692307692308,0.7228409414743491,0.7575747133867847,7.537313432835821,20,21,4440,14,0.9824561403508771,0.9,0.9122807017543859,Ruderal,Allmannstrasse,47.4168364542774,8.55126416858936,1,1,0.23076923076923078,0.20175438596491227,4,2,2,0.503524242424243,3,0.75,0.9473684210526315,0.9904761904761905,3.588,8.52828557325167,2,4,3,NA,NA,1,0.8333333333333334,0.8333333333333338,0.8143712574850301,0.6408227848101268,0.9238156553463166,0.8702594810379243,0.7823192200782216,0.05632486410704188,0.1573826839497794,0.5239546895163628,0.2458874125243947,1,0.9246287762416797,0.9623143881208398,0.5,1,0.5,0.035658235396668694,0.4,0.48713164707933376,0.635872808852215,0.7211298121918649,0.5,0.75,0.5,0.621400524208816,0.5542660856440749,0.7412245150920067
C,49,C_49,96,10,23,37,0.7567567567567568,0.1608695652173913,0.7633493276302394,0.5108185654037382,9.798657718120806,20,20,8374,9,0.9895833333333334,0.9565217391304348,0.8645833333333334,Ruderal,Nähe Europabrücke,47.3935133,8.49692767,1,1,0,0,3,2,2,0.681281818181818,3,0.8695652173913043,0.9583333333333334,1,5.13,10.72434204795349,2,4,6,NA,NA,0.9636752136752139,0.5833333333333334,0.9895833333333339,0.9640718562874255,0.5542251111871366,0.9547655453618759,0.8751659341573267,0.7544953282745062,0.1509435778212426,0.2805360378461785,0.03940495990110133,0.15696152518950746,1,1,1,0.25,1,0.5,0.05628250299738603,0.4,0.4412565005994772,1,0.9963028308220614,0.5,0.75,1,0.8492605661644123,0.6452585333819447,0.7390355214344526
