ugs_id,period,network_id,N_interactions,P_plants,A_pollinators,L_links,singleton_rate,connectance,link_evenness,H2_specialization,WNODF_nestedness,ugs_type,site_name,lat,lon
1,ABC,ABC_1,115,20,27,45,0.6888888888888889,0.08333333333333333,0.8204825538319371,0.6308100238297479,11.645101663585953,Allotment,Gartenareal Breitenstein,47.39364,8.51663
2,ABC,ABC_2,123,24,32,50,0.8,0.06510416666666667,0.7949988333430232,0.7358050524433919,5.082037996545769,Allotment,Grubenacker,47.4177,8.55346
3,ABC,ABC_3,185,29,35,67,0.746268656716418,0.06600985221674877,0.7889190593483815,0.6127398293976287,5.581918081918082,Allotment,Gartenareal Breitenstein,47.39403,8.51594
4,ABC,ABC_4,40,14,19,29,0.8620689655172413,0.10902255639097744,0.9412498501327212,0.803264387629252,1.3358778625954197,Allotment,Juchhof,47.39934,8.4781
5,ABC,ABC_5,65,14,23,33,0.696969696969697,0.10248447204968944,0.9051498488269354,0.7468884843863871,7.703488372093023,Allotment,Gartenareal Breitenstein,47.3938,8.51659
6,ABC,ABC_6,36,12,11,17,0.7647058823529411,0.12878787878787878,0.8406398152007667,0.824390214884234,NA,Allotment,Juchhof,47.4014442872832,8.47412973187809
7,ABC,ABC_7,241,40,50,102,0.7352941176470589,0.051,0.8554983483591466,0.7190671573967808,4.421505759410996,Allotment,Gemeinschaftsgarten Grünhölzli,47.38736,8.46865
8,ABC,ABC_8,75,20,29,48,0.8125,0.08275862068965517,0.9195435561245406,0.710226874846683,5.855704697986577,Allotment,Familiengartenverein Wiedikon,47.3591153,8.50162658610434
9,ABC,ABC_9,216,27,39,73,0.726027397260274,0.06932573599240266,0.7573418165402649,0.5971480104421454,6.963776963776962,Allotment,Pauls Garden,47.36224,8.50003
10,ABC,ABC_10,222,40,44,85,0.6941176470588235,0.048295454545454544,0.843206010353791,0.7204152317564397,7.071263035921205,Allotment,GZ Bachwiesen - Zürcher Gemeinschaftszentren,47.37907,8.48641
11,ABC,ABC_11,59,20,15,34,0.7352941176470589,0.11333333333333333,0.9006749962723327,0.7322114751092844,7.5423728813559325,Allotment,Familiengarten Heuelsteig,47.3683693914919,8.57004185552238
