rank_overall,network_id,period,ugs_id,ugs_type,site_name,plants_recorded,P_plants,plants_interaction_share,N_interactions,A_pollinators,L_links,singleton_rate,share_interactions_species_id,share_bee_interactions,plant_trait_weighted_cov,bee_trait_weighted_cov,score_richness,score_completeness,score_trait_coverage,score_trait_breadth,score_overall_noBG
1,C_10,C,10,Allotment,GZ Bachwiesen - Zürcher Gemeinschaftszentren,38,22,0.579,120,23,46,0.587,0.992,0.867,0.975,0.99,0.997,0.952,0.903,0.705,0.841
2,C_51,C,51,Ruderal,Stelzenstrasse,34,20,0.588,103,27,42,0.69,1,0.874,1,1,1,0.853,1,0.643,0.832
3,C_39,C,39,Park,Zeughaushof,43,22,0.512,91,19,38,0.632,0.967,0.912,0.978,0.976,0.921,0.848,0.854,0.765,0.801
4,C_7,C,7,Allotment,Gemeinschaftsgarten Grünhölzli,47,18,0.383,97,24,44,0.818,1,0.897,0.99,1,0.994,0.707,0.976,0.712,0.799
5,C_26,C,26,Garden,Gladiolenweg,31,14,0.452,99,22,36,0.611,0.99,0.929,0.869,1,0.946,0.921,0.69,0.675,0.787
6,C_35,C,35,Garden,Hubenstrasse,34,14,0.412,55,29,37,0.811,1,0.691,0.982,1,0.852,0.716,0.957,0.785,0.783
7,C_48,C,48,Park,Bachwiesenpark,21,13,0.619,99,29,36,0.806,0.98,0.869,1,0.989,0.941,0.678,0.955,0.783,0.771
8,B_56,B,56,Ruderal,ETH / UZH,33,14,0.424,52,21,27,0.667,1,0.942,1,1,0.74,0.88,1,0.749,0.77
9,C_56,C,56,Ruderal,ETH / UZH,29,20,0.69,62,24,40,0.725,1,0.871,0.968,0.946,0.9,0.813,0.712,0.71,0.77
10,C_44,C,44,Park,Sonnenberg,24,10,0.417,90,29,44,0.818,0.989,0.811,1,1,0.871,0.683,1,0.802,0.765
11,C_57,C,57,Ruderal,Oberer Letten,29,16,0.552,95,22,39,0.744,0.989,0.947,0.926,0.978,0.973,0.769,0.739,0.707,0.764
12,B_52,B,52,Ruderal,Güterstrasse,26,14,0.538,78,19,34,0.647,1,0.949,0.962,1,0.836,0.902,0.909,0.638,0.762
13,C_53,C,53,Ruderal,Messe Hallenstadion /Cor: Offene Rennbahn,22,16,0.727,68,26,44,0.705,0.971,0.794,1,0.915,0.916,0.773,0.665,0.678,0.745
14,C_3,C,3,Allotment,Gartenareal Breitenstein,48,15,0.312,79,18,31,0.71,1,0.975,1,1,0.824,0.831,1,0.609,0.742
15,C_58,C,58,Ruderal,Allmannstrasse,20,13,0.65,114,20,32,0.719,0.982,0.912,1,0.99,0.87,0.782,0.962,0.554,0.741
16,C_49,C,49,Ruderal,Nähe Europabrücke,20,10,0.5,96,23,37,0.757,0.99,0.865,1,1,0.875,0.754,1,0.645,0.739
17,C_20,C,20,Real estate,Genosseschaft in der Ey,31,14,0.452,93,15,29,0.552,0.989,0.957,0.946,0.989,0.786,0.977,0.829,0.655,0.729
18,B_35,B,35,Garden,Hubenstrasse,30,15,0.5,43,21,28,0.75,1,0.721,1,0.969,0.744,0.785,0.876,0.693,0.721
19,C_9,C,9,Allotment,Pauls Garden,53,12,0.226,148,22,40,0.675,0.986,0.912,0.973,0.985,0.922,0.841,0.878,0.402,0.716
20,B_58,B,58,Ruderal,Allmannstrasse,27,12,0.444,102,29,40,0.725,0.902,0.735,1,0.975,0.938,0.6,0.9,0.625,0.715
21,B_9,B,9,Allotment,Pauls Garden,40,12,0.3,65,22,30,0.767,1,0.815,0.985,1,0.769,0.766,0.964,0.595,0.713
22,B_19,B,19,Real estate,Sägestrasse,22,10,0.455,69,22,33,0.788,0.971,0.754,1,1,0.76,0.679,1,0.722,0.704
23,C_24,C,24,Real estate,Altwiesenstrasse,23,11,0.478,56,22,31,0.742,1,0.696,1,0.975,0.731,0.794,0.901,0.613,0.7
24,B_59,B,59,Ruderal,Hofwiesenstrasse,17,11,0.647,53,19,30,0.633,1,0.887,0.981,0.979,0.677,0.918,0.873,0.52,0.686
25,B_26,B,26,Garden,Gladiolenweg,18,8,0.444,61,23,33,0.758,1,0.672,1,1,0.71,0.776,1,0.475,0.681
26,C_52,C,52,Ruderal,Güterstrasse,13,9,0.692,133,17,22,0.773,0.992,0.962,1,1,0.673,0.743,1,0.605,0.674
27,C_13,C,13,Real estate,Eisenbahnerstrasse,16,10,0.625,87,18,27,0.667,0.989,0.874,0.989,0.974,0.711,0.855,0.871,0.514,0.671
28,B_47,B,47,Park,Schärrerwiese,20,11,0.55,36,15,24,0.75,1,0.806,1,1,0.534,0.785,1,0.833,0.67
29,B_44,B,44,Park,Sonnenberg,17,12,0.706,50,20,26,0.769,0.96,0.78,0.96,1,0.673,0.676,0.906,0.611,0.668
30,B_3,B,3,Allotment,Gartenareal Breitenstein,47,16,0.34,62,17,28,0.786,0.984,0.952,0.968,0.983,0.743,0.709,0.858,0.638,0.668
31,B_57,B,57,Ruderal,Oberer Letten,21,11,0.524,63,14,24,0.625,0.968,0.937,1,0.983,0.593,0.858,0.933,0.716,0.667
32,B_46,B,46,Park,Muraltengut,23,13,0.565,80,20,29,0.759,1,0.812,0.887,0.985,0.796,0.775,0.675,0.622,0.664
33,C_2,C,2,Allotment,Grubenacker,42,11,0.262,36,21,27,0.852,1,0.583,1,1,0.635,0.669,1,0.552,0.663
34,B_14,B,14,Real estate,Regina Pärkli,20,12,0.6,54,23,32,0.812,0.926,0.778,0.981,0.952,0.767,0.553,0.768,0.691,0.662
35,C_46,C,46,Park,Muraltengut,18,9,0.5,59,20,24,0.75,0.983,0.831,0.983,1,0.619,0.748,0.96,0.632,0.661
36,C_32,C,32,Garden,Kapfsteig,23,11,0.478,57,16,31,0.742,1,0.947,1,1,0.656,0.794,1,0.44,0.66
37,C_45,C,45,Park,Kloptstockwiese,17,9,0.529,61,16,25,0.72,0.984,0.951,1,0.983,0.58,0.783,0.932,0.681,0.658
38,B_7,B,7,Allotment,Gemeinschaftsgarten Grünhölzli,31,14,0.452,62,23,34,0.676,0.968,0.661,0.935,0.87,0.845,0.799,0.348,0.476,0.658
39,A_50,A,50,Ruderal,Glattparkstrasse,19,9,0.474,57,21,28,0.821,1,0.807,0.947,1,0.657,0.703,0.876,0.555,0.656
40,B_55,B,55,Ruderal,Hinterhagenweg,28,14,0.5,72,12,25,0.64,1,0.861,0.972,1,0.661,0.91,0.934,0.514,0.654
41,A_7,A,7,Allotment,Gemeinschaftsgarten Grünhölzli,36,14,0.389,82,17,28,0.714,1,0.854,0.793,0.986,0.776,0.825,0.455,0.603,0.651
42,A_43,A,43,Park,Villa Hohenbühl,26,12,0.462,42,21,31,0.839,0.976,0.833,0.976,0.943,0.702,0.632,0.718,0.678,0.65
43,C_34,C,34,Garden,NA,23,9,0.391,35,18,24,0.667,0.971,0.829,1,0.966,0.529,0.818,0.864,0.672,0.649
44,A_27,A,27,Garden,Breitensteinstrasse,30,13,0.433,42,19,26,0.923,1,0.69,0.976,1,0.659,0.588,0.944,0.549,0.64
45,B_8,B,8,Allotment,Familiengartenverein Wiedikon,41,12,0.293,40,20,31,0.903,0.975,0.675,0.925,1,0.683,0.556,0.823,0.63,0.637
46,C_50,C,50,Ruderal,Glattparkstrasse,13,8,0.615,52,18,27,0.704,0.981,0.827,1,0.957,0.576,0.796,0.828,0.62,0.637
47,B_21,B,21,Real estate,Waidspital,23,12,0.522,45,27,34,0.824,0.956,0.667,0.956,0.875,0.761,0.605,0.401,0.732,0.636
48,C_12,C,12,Allotment,Familiengarten Wehrenbach,38,15,0.395,41,17,23,0.783,0.976,0.976,0.976,0.95,0.65,0.695,0.745,0.702,0.636
49,B_17,B,17,Real estate,Bernstrasse,28,13,0.464,43,16,24,0.75,0.953,0.837,0.977,0.972,0.608,0.684,0.835,0.622,0.635
50,A_45,A,45,Park,Kloptstockwiese,19,10,0.526,49,16,24,0.667,0.959,0.755,1,0.974,0.561,0.791,0.896,0.502,0.632
51,B_32,B,32,Garden,Kapfsteig,31,13,0.419,37,12,20,0.7,1,0.865,0.946,1,0.51,0.842,0.873,0.545,0.629
