feasibility_rank,feasibility_tier,preferred_tier,plant,family,primary_group,restrictive_subtype,decision_rule,periods_present,period_a,period_b,period_c,n_periods_from_flowers,n_site_periods_present,n_site_periods_with_bee,n_site_periods_without_bee,n_sites_present,n_periods_present,total_bee_visits,balance_score,max_site_period_share,in_botgarden,structural_blossom_class,displaying_pollen,tube_or_spur_present,tube_spur_length_mm,pollinator_behaviour,corolla_or_substitute_length_mm,alighting,trait_lookup_name,trait_match_type,trait_source_dataset,trait_match_note,selection_pool
18,good,FALSE,Aquilegia vulgaris,Ranunculaceae,open_access,NA,open_override_blossom_plus_open_pollen,A/B,TRUE,TRUE,FALSE,2,13,7,6,12,2,16,6,0.4375,TRUE,dish_bowl,open,1,15,primitive,25,diffuse,Aquilegia vulgaris,exact,extended_db,Exact species-level trait match.,backup
21,good,FALSE,Potentilla reptans,Rosaceae,open_access,NA,open_override_blossom_plus_open_pollen,B/C,FALSE,TRUE,TRUE,2,14,5,9,13,2,13,5,0.46153846153846156,TRUE,dish_bowl,open,0,0,primitive,12,diffuse,Potentilla reptans,exact,extended_db,Exact species-level trait match.,backup
25,good,FALSE,Hypochaeris radicata,Asteraceae,open_access,NA,open_override_blossom_plus_open_pollen,B/C,FALSE,TRUE,TRUE,2,10,4,6,8,2,10,4,0.6,FALSE,dish_bowl,open,1,5,primitive,15,diffuse,Hypochaeris radicata,exact,extended_db,Exact species-level trait match.,backup
26,good,FALSE,Calendula officinalis,Asteraceae,open_access,NA,open_override_blossom_plus_open_pollen,A/B/C,TRUE,TRUE,TRUE,3,11,4,7,6,3,18,4,0.4444444444444444,FALSE,dish_bowl,open,1,3,primitive,20,diffuse,Calendula officinalis,exact,extended_db,Exact species-level trait match.,backup
29,good,FALSE,Nigella damascena,Ranunculaceae,open_access,NA,open_override_blossom_plus_open_pollen,A/B/C,TRUE,TRUE,TRUE,3,13,10,3,8,3,83,3,0.3253012048192771,TRUE,dish_bowl,open,1,2,primitive,20,diffuse,Nigella damascena,exact,extended_db,Exact species-level trait match.,backup
32,good,FALSE,Geranium nodosum,Geraniaceae,open_access,NA,open_override_blossom_plus_open_pollen,A/B/C,TRUE,TRUE,TRUE,3,6,3,3,4,3,24,3,0.75,TRUE,dish_bowl,open,0,0,primitive,18,diffuse,Geranium nodosum,exact,extended_db,Exact species-level trait match.,backup
34,good,FALSE,Centaurea jacea,Asteraceae,open_access,NA,open_override_blossom_plus_open_pollen,A/B/C,TRUE,TRUE,TRUE,3,20,18,2,14,3,159,2,0.15723270440251572,TRUE,dish_bowl,open,1,10,primitive,18,diffuse,Centaurea jacea,exact,extended_db,Exact species-level trait match.,backup
40,good,FALSE,Centaurea scabiosa,Asteraceae,open_access,NA,open_override_blossom_plus_open_pollen,A/B/C,TRUE,TRUE,TRUE,3,9,7,2,6,3,48,2,0.5416666666666666,TRUE,dish_bowl,open,1,18,primitive,40,diffuse,Centaurea scabiosa,exact,extended_db,Exact species-level trait match.,backup
41,good,FALSE,Centaurea montana,Asteraceae,open_access,NA,open_override_blossom_plus_open_pollen,A/B/C,TRUE,TRUE,TRUE,3,9,7,2,6,3,33,2,0.21212121212121213,TRUE,dish_bowl,open,1,20,primitive,40,diffuse,Centaurea montana,exact,extended_db,Exact species-level trait match.,backup
48,good,FALSE,Geranium endressii,Geraniaceae,open_access,NA,open_override_blossom_plus_open_pollen,A/B/C,TRUE,TRUE,TRUE,3,6,4,2,4,3,14,2,0.35714285714285715,TRUE,dish_bowl,open,0,0,primitive,22.5,diffuse,Geranium endressii,exact,manual_fill,Exact species-level trait match.,backup
36,reserve,FALSE,Scabiosa columbaria,Caprifoliaceae,open_access,NA,open_override_blossom_plus_open_pollen,B/C,FALSE,TRUE,TRUE,2,11,9,2,8,2,46,2,0.2608695652173913,TRUE,dish_bowl,open,1,6,primitive,12,diffuse,Scabiosa columbaria,exact,extended_db,Exact species-level trait match.,backup
38,reserve,FALSE,Galium verum,Rubiaceae,open_access,NA,open_override_blossom_plus_open_pollen,B/C,FALSE,TRUE,TRUE,2,8,2,6,7,2,16,2,0.9375,TRUE,dish_bowl,open,0,0,primitive,2,diffuse,Galium verum,exact,extended_db,Exact species-level trait match.,backup
39,reserve,FALSE,Erigeron annuus,Asteraceae,open_access,NA,open_override_blossom_plus_open_pollen,B/C,FALSE,TRUE,TRUE,2,7,2,5,7,2,11,2,0.9090909090909091,TRUE,dish_bowl,open,1,2.8,primitive,6,diffuse,Erigeron annuus,exact,extended_db,Exact species-level trait match.,backup
46,reserve,FALSE,Allium schoenoprasum,Amaryllidaceae,open_access,NA,open_override_blossom_plus_open_pollen,A/B,TRUE,TRUE,FALSE,2,5,3,2,5,2,13,2,0.6153846153846154,TRUE,dish_bowl,open,0,0,primitive,13,diffuse,Allium schoenoprasum,exact,extended_db,Exact species-level trait match.,backup
47,reserve,FALSE,Hydrangea macrophylla,Hydrangeaceae,open_access,NA,open_override_blossom_plus_open_pollen,B/C,FALSE,TRUE,TRUE,2,5,2,3,5,2,5,2,0.6,TRUE,dish_bowl,open,0,0,primitive,3,diffuse,Hydrangea macrophylla,exact,extended_db,Exact species-level trait match.,backup
13,reserve,FALSE,Ajuga reptans,Lamiaceae,restrictive_access,concealed_nectar,restrictive_concealed_nectar,A/B,TRUE,TRUE,FALSE,2,19,8,11,18,2,134,8,0.7686567164179104,TRUE,gullet,open,1,6,alighting,15,lower_lip_or_carina,Ajuga reptans,exact,extended_db,Exact species-level trait match.,backup
33,reserve,FALSE,Trifolium dubium,Fabaceae,restrictive_access,restricted_pollen_handling,restrictive_pollen_handling,A/B/C,TRUE,TRUE,TRUE,3,25,2,23,19,3,6,2,0.8333333333333334,TRUE,flag,hidden,1,2,alighting_forcing,4,lower_lip_or_carina,Trifolium dubium,exact,extended_db,Exact species-level trait match.,backup
44,reserve,FALSE,Lavandula angustifolia,Lamiaceae,restrictive_access,both_restrictive,restrictive_both,B/C,FALSE,TRUE,TRUE,2,6,4,2,6,2,69,2,0.4057971014492754,TRUE,stielteller,hidden,1,6.5,alighting,10,margin,Lavandula angustifolia,exact,manual_fill,Exact species-level trait match.,backup
49,reserve,FALSE,Melilotus officinalis,Fabaceae,restrictive_access,restricted_pollen_handling,restrictive_pollen_handling,B/C,FALSE,TRUE,TRUE,2,5,3,2,4,2,44,2,0.8181818181818182,TRUE,flag,hidden,1,1,alighting_forcing,7,lower_lip_or_carina,Melilotus officinalis,exact,extended_db,Exact species-level trait match.,backup
