plant,n_site_periods_present,n_sites_present,n_periods_present,n_site_periods_with_bee,n_site_periods_without_bee,total_bee_visits,mean_floral_abundance,sd_floral_abundance,max_site_period_visits,balance_score,max_site_period_share,abundance_cv,in_botgarden,feasibility_rank,feasibility_tier,preferred_tier,flag_low_balance,flag_low_periods,flag_high_concentration,flag_low_sites,fragility_score
Bellis perennis,82,37,3,28,54,54,76.70731707317073,116.92526766017855,5,28,0.09259259259259259,1.5243039663171132,TRUE,1,preferred,TRUE,FALSE,FALSE,FALSE,FALSE,0
Trifolium pratense,64,29,3,38,26,91,470.59375,681.6469485738199,10,26,0.10989010989010989,1.4484827913116567,TRUE,2,preferred,TRUE,FALSE,FALSE,FALSE,FALSE,0
Vicia sepium,39,25,3,22,17,64,27.692307692307693,39.218788358692144,17,17,0.265625,1.4162340240638829,TRUE,3,preferred,TRUE,FALSE,FALSE,FALSE,FALSE,0
Plantago lanceolata,52,29,3,14,38,27,138.09615384615384,215.69116080095202,5,14,0.18518518518518517,1.5618911518798921,TRUE,4,preferred,TRUE,FALSE,FALSE,FALSE,FALSE,0
Lotus corniculatus,38,21,3,24,14,107,101.52631578947368,191.74148373802615,20,14,0.18691588785046728,1.8885890051956955,TRUE,5,preferred,TRUE,FALSE,FALSE,FALSE,FALSE,0
Ranunculus repens,32,23,3,13,19,41,34.96875,41.334578491043764,19,13,0.4634146341463415,1.1820433527376233,TRUE,6,preferred,TRUE,FALSE,FALSE,FALSE,FALSE,0
Trifolium repens,57,34,3,45,12,476,715.6315789473684,1053.8840176017432,99,12,0.20798319327731093,1.472662817859316,TRUE,7,preferred,TRUE,FALSE,FALSE,FALSE,FALSE,0
Medicago lupulina,44,26,3,11,33,19,844.7954545454545,2712.975716120203,6,11,0.3157894736842105,3.2113995186916933,TRUE,8,preferred,TRUE,FALSE,FALSE,FALSE,FALSE,0
Taraxacum officinale,25,20,3,11,14,61,9.24,16.951597761469763,16,11,0.26229508196721313,1.8345885023235675,TRUE,9,preferred,TRUE,FALSE,FALSE,FALSE,FALSE,0
Ranunculus acris,22,17,3,12,10,47,47.59090909090909,64.2981589686147,7,10,0.14893617021276595,1.3510596917951512,TRUE,10,preferred,TRUE,FALSE,FALSE,FALSE,FALSE,0
Leucanthemum vulgare,26,18,3,9,17,25,26.884615384615383,28.871199383575213,7,9,0.28,1.073892967057161,TRUE,11,preferred,TRUE,FALSE,FALSE,FALSE,FALSE,0
Prunella vulgaris,24,22,2,16,8,107,177.625,240.8257195025337,21,8,0.19626168224299065,1.3558098212669034,TRUE,12,good,FALSE,FALSE,TRUE,FALSE,FALSE,1
Ajuga reptans,19,18,2,8,11,134,542.6842105263158,1579.3483203394571,103,8,0.7686567164179104,2.910252942144281,TRUE,13,reserve,FALSE,FALSE,TRUE,TRUE,FALSE,2
Medicago sativa,18,15,2,11,7,67,379.27777777777777,452.1540348618268,21,7,0.31343283582089554,1.1921448114124626,TRUE,14,good,FALSE,FALSE,TRUE,FALSE,FALSE,1
Geum urbanum,26,19,3,6,20,7,7.230769230769231,6.439302398910567,2,6,0.2857142857142857,0.8905418211259295,TRUE,15,good,FALSE,FALSE,FALSE,FALSE,FALSE,0
