plant,ugs_id,period,floral_abundance,plant_present,bee_visits,bee_present
Acanthus spinosus,33,C,2,TRUE,1,TRUE
Acer campestre,47,A,23,TRUE,0,FALSE
Achillea clypeolata,3,B,450,TRUE,2,TRUE
Achillea clypeolata,3,C,1800,TRUE,0,FALSE
Achillea millefolium,7,B,102,TRUE,0,FALSE
Achillea millefolium,7,C,547,TRUE,3,TRUE
Achillea millefolium,13,C,355,TRUE,5,TRUE
Achillea millefolium,21,C,222,TRUE,0,FALSE
Achillea millefolium,38,C,1025,TRUE,18,TRUE
Achillea millefolium,40,C,67,TRUE,0,FALSE
Achillea millefolium,49,B,1095,TRUE,3,TRUE
Achillea millefolium,50,A,10,TRUE,0,FALSE
Achillea millefolium,50,B,94,TRUE,0,FALSE
Achillea millefolium,51,C,523,TRUE,1,TRUE
Achillea millefolium,52,C,134,TRUE,5,TRUE
Achillea millefolium,53,C,25,TRUE,1,TRUE
Achillea millefolium,55,B,200,TRUE,3,TRUE
Achillea millefolium,59,C,24,TRUE,2,TRUE
Achillea millefolium,60,C,25,TRUE,2,TRUE
Actinidia chinensis,1,B,15,TRUE,0,FALSE
Aegopodium podagraria,1,B,144,TRUE,8,TRUE
Aegopodium podagraria,5,B,165,TRUE,0,FALSE
Aegopodium podagraria,22,B,243,TRUE,1,TRUE
Aegopodium podagraria,27,A,306,TRUE,1,TRUE
Aegopodium podagraria,27,B,20832,TRUE,28,TRUE
Aegopodium podagraria,29,B,62,TRUE,0,FALSE
Aegopodium podagraria,35,B,3390,TRUE,1,TRUE
Aegopodium podagraria,39,B,528,TRUE,0,FALSE
Aegopodium podagraria,46,B,2412,TRUE,32,TRUE
Aegopodium podagraria,58,B,3349,TRUE,43,TRUE
Agrimonia eupatoria,39,C,61,TRUE,0,FALSE
Ajuga reptans,11,A,104,TRUE,1,TRUE
Ajuga reptans,12,A,29,TRUE,2,TRUE
Ajuga reptans,14,A,2,TRUE,0,FALSE
Ajuga reptans,18,A,5,TRUE,0,FALSE
Ajuga reptans,19,A,159,TRUE,1,TRUE
Ajuga reptans,21,A,853,TRUE,4,TRUE
Ajuga reptans,23,A,6885,TRUE,103,TRUE
Ajuga reptans,29,A,6,TRUE,1,TRUE
Ajuga reptans,31,A,155,TRUE,5,TRUE
Ajuga reptans,31,B,10,TRUE,0,FALSE
Ajuga reptans,33,A,108,TRUE,0,FALSE
Ajuga reptans,34,A,26,TRUE,0,FALSE
Ajuga reptans,35,A,63,TRUE,0,FALSE
Ajuga reptans,36,A,49,TRUE,0,FALSE
Ajuga reptans,39,A,340,TRUE,0,FALSE
Ajuga reptans,43,A,16,TRUE,0,FALSE
Ajuga reptans,44,A,11,TRUE,0,FALSE
Ajuga reptans,47,A,18,TRUE,0,FALSE
Ajuga reptans,57,A,1472,TRUE,17,TRUE
Alchemilla mollis,1,B,756,TRUE,0,FALSE
Alchemilla mollis,22,A,216,TRUE,0,FALSE
Alchemilla mollis,22,B,1730,TRUE,0,FALSE
Alchemilla mollis,22,C,328,TRUE,0,FALSE
Alchemilla mollis,30,B,442,TRUE,0,FALSE
Alchemilla mollis,31,C,320,TRUE,0,FALSE
Alchemilla mollis,32,B,700,TRUE,0,FALSE
Alchemilla mollis,32,C,300,TRUE,1,TRUE
Alchemilla xanthochlora,35,B,200,TRUE,0,FALSE
Alliaria petiolata,1,A,44,TRUE,0,FALSE
Alliaria petiolata,16,A,5,TRUE,0,FALSE
Alliaria petiolata,16,B,4,TRUE,0,FALSE
Alliaria petiolata,38,A,10,TRUE,0,FALSE
Alliaria petiolata,44,A,292,TRUE,4,TRUE
Alliaria petiolata,47,A,8,TRUE,0,FALSE
Allium ampeloprasum,1,A,82,TRUE,0,FALSE
Allium carinatum,2,C,5,TRUE,1,TRUE
Allium fistulosum,11,B,40,TRUE,0,FALSE
Allium moly,1,B,12,TRUE,0,FALSE
Allium neapolitanum,5,A,50,TRUE,0,FALSE
Allium nigrum,20,A,33,TRUE,3,TRUE
Allium nigrum,27,B,70,TRUE,1,TRUE
Allium paradoxum,9,A,107,TRUE,0,FALSE
Allium paradoxum,37,A,28,TRUE,0,FALSE
Allium sativum,10,C,50,TRUE,0,FALSE
Allium schoenoprasum,5,A,470,TRUE,2,TRUE
Allium schoenoprasum,7,A,187,TRUE,8,TRUE
Allium schoenoprasum,12,B,1264,TRUE,3,TRUE
Allium schoenoprasum,27,A,105,TRUE,0,FALSE
Allium schoenoprasum,58,B,361,TRUE,0,FALSE
Allium ursinum,31,A,63,TRUE,0,FALSE
Allium ursinum,43,A,505,TRUE,11,TRUE
Althaea officinalis,7,C,12,TRUE,4,TRUE
Amelanchier ovalis,15,A,96,TRUE,1,TRUE
Anemone altaica,32,A,3,TRUE,0,FALSE
Anthericum liliago,38,C,26,TRUE,0,FALSE
Anthyllis vulneraria,15,A,500,TRUE,0,FALSE
Anthyllis vulneraria,20,B,10,TRUE,0,FALSE
Anthyllis vulneraria,38,A,2310,TRUE,3,TRUE
Anthyllis vulneraria,49,A,240,TRUE,3,TRUE
Anthyllis vulneraria,49,B,228,TRUE,1,TRUE
Anthyllis vulneraria,51,A,818,TRUE,0,FALSE
Anthyllis vulneraria,51,B,29,TRUE,0,FALSE
Anthyllis vulneraria,52,A,151,TRUE,1,TRUE
Anthyllis vulneraria,53,A,1708,TRUE,2,TRUE
Anthyllis vulneraria,53,B,12,TRUE,0,FALSE
Anthyllis vulneraria,57,B,22,TRUE,0,FALSE
Antirrhinum majus,7,C,11,TRUE,0,FALSE
Antirrhinum majus,9,B,21,TRUE,1,TRUE
Aquilegia vulgaris,2,A,42,TRUE,1,TRUE
Aquilegia vulgaris,3,A,68,TRUE,0,FALSE
Aquilegia vulgaris,7,A,45,TRUE,2,TRUE
Aquilegia vulgaris,10,A,23,TRUE,1,TRUE
Aquilegia vulgaris,11,B,6,TRUE,0,FALSE
Aquilegia vulgaris,12,B,15,TRUE,1,TRUE
Aquilegia vulgaris,26,A,57,TRUE,3,TRUE
Aquilegia vulgaris,26,B,5,TRUE,0,FALSE
Aquilegia vulgaris,30,A,35,TRUE,0,FALSE
Aquilegia vulgaris,31,B,15,TRUE,1,TRUE
Aquilegia vulgaris,32,B,7,TRUE,0,FALSE
